logpressurec2,pressurec2,energy_densityc2,baryon_density 
-20.822877345,9.05189008333E-10,0.280000001549,0.28
-20.3012972339,1.52496064484E-09,0.389170683143,0.38917068
-19.7797171227,2.56908219931E-09,0.54090649935,0.54090649
-19.2581370115,4.3281007737E-09,0.751803395785,0.75180339
-18.7365569004,7.29149745087E-09,1.0449279992,1.04492799
-18.2149767892,1.22838949128E-08,1.45234050567,1.45234048
-17.693396678,2.06945247179E-08,2.01860123105,2.0186012
-17.1718165669,3.4863807965E-08,2.80564434906,2.80564429
-16.6502364557,5.87346229202E-08,3.89955187708,3.89955178
-16.1286563445,9.89494874756E-08,5.41996880742,5.41996864
-15.6070762334,1.66698968766E-07,7.5331891544,7.53318887
-15.0854961222,2.80835675825E-07,10.4703441906,10.47034371
-14.563916011,4.73120364209E-07,14.5526821919,14.55268138
-14.0423358999,7.97059983109E-07,20.2267046395,20.22670328
-13.5207557887,1.3427970232E-06,28.1130018646,28.11299957
-12.9991756775,2.26219341545E-06,39.07412949,39.07412562
-12.4775955664,3.81108906297E-06,54.3089495874,54.30894306
-11.9560154552,6.4204942631E-06,75.48375503,75.48374404
-11.434435344,1.08165266939E-05,104.914518648,104.91450013
-10.9128552329,1.82224677612E-05,145.820200529,145.82016934
-10.3912751217,3.06991644086E-05,202.674818749,202.6747662
-9.86969501053,5.1718499807E-05,281.696790988,281.69670247
-9.34811489937,8.71295122785E-05,391.529068427,391.5289193
-8.8265347882,0.000146786003813,544.184451135,544.1841999
-8.30495467703,0.000247288551859,756.359478291,756.35905503
-7.78337456586,0.000416603942418,1051.2605994,1051.25988634
-7.2617944547,0.00070184747144,1461.14236336,1461.14116208
-6.74021434353,0.00118239369101,2030.83523951,2030.83321573
-6.21863423236,0.00199196392014,2822.64892592,2822.64551648
-5.6970541212,0.00335583679894,3923.18744581,3923.18170197
-5.17547401003,0.00565353644575,5452.82143662,5452.81176005
-4.65389389886,0.00952444241433,7578.85367156,7578.83736956
-4.13231378769,0.0160457094731,10533.8178094,10533.79034559
-3.61073367653,0.0270320068403,14640.91183,14640.8655621
-3.08915356536,0.0455404851396,20349.3479983,20349.27005143
-2.56757345419,0.0767214879386,28283.4858672,28283.35455097
-2.04599334302,0.129251734879,39311.1224352,39310.90120845
-1.52441323186,0.217748787439,54638.4090397,54638.03634169
-1.00283312069,0.366838669328,75941.7771157,75941.14923608
-0.481253009522,0.618008535876,105551.303241,105550.2454596
0.0403271016448,1.0411512808,146705.570802,146703.78877134
0.561907212812,1.75401459134,203905.906854,203902.90468915
1.08348732398,2.95496652926,283408.744068,283403.68635929
1.60506743515,4.97819529675,393909.968824,393901.44816465
2.12664754631,8.3867035945,547496.121239,547481.76659038
2.64822765748,14.1289750581,760966.510539,760942.32744135
3.16980776865,23.8029082514,1057670.89602,1057630.15506063
3.69138787982,40.1004629774,1470063.80436,1469995.16856261
4.21296799098,67.5567503775,2043254.98748,2043139.357608
4.73454810215,113.81201569,2839944.56529,2839749.76508845
5.25612821332,191.737684882,3947282.99398,3946954.81651385
5.77770832449,323.018088914,5486406.77641,5485853.89991805
6.29928843565,544.184550002,7625693.9082,7624762.4840629
6.82086854682,916.780931546,10599190.6044,10597621.4458138
7.34244865799,1544.48941346,14732227.6495,14729584.1075076
7.86402876915,2601.9820725,20477033.0819,20472579.5396138
8.34000423912,4188.10749532,28469317.7768,28454741.8275162
8.7638298503,6398.57027781,39571380.6409,39549111.5764825
9.18765546148,9775.70457439,55003146.3781,54969123.8096745
9.61148107266,14935.2739404,76453305.6623,76401326.1476168
10.0353066838,22818.038943,106269257.23,1.06E+08
10.459132295,34861.289005,147714091.029,1.48E+08
10.8829579062,53260.9079215,205323850.204,2.05E+08
11.3067835174,81371.7562828,285404213.633,2.85E+08
11.7306091285,124319.373795,396721024.785,3.96E+08
12.1544347397,189934.535111,551460348.123,5.51E+08
12.5782603509,290181.059691,766563295.481,7.66E+08
13.0020859621,443337.212761,1065581980.23,1.06E+09
13.4259115733,677328.439108,1481260146.13,1.48E+09
13.8497371844,1034819.09756,2059121570.78,2.06E+09
14.2735627956,1580991.58819,2862460014.23,2.86E+09
14.6973884068,2415431.26507,3979278458.68,3.97E+09
15.121214018,3690284.14815,5531939628.93,5.52E+09
15.5450396292,5637998.18735,7690587919.83,7.67E+09
15.9688652403,8613706.23085,10691817784,1.07E+10
16.3926908515,13159978.5182,14864641177,1.48E+10
16.8165164627,20105751.2247,20666610664.3,2.06E+10
17.2403420739,30717469.0103,28734074236.1,2.86E+10
17.664167685,46929999.8719,39952096777.1,3.98E+10
18.0879932962,71699425.7319,55551754411.5,5.53E+10
18.5118189074,109542034.185,77245532771.6,7.69E+10
18.9356445186,167357787.471,107415775094,1.07E+11
19.3594701298,255688414.366,149377000554,1.48E+11
19.7832957409,390639516.862,207741103083,2.06E+11
20.2071213521,596817155.415,288925861972,2.87E+11
20.596133873,880617455.132,396358628917,3.99E+11
20.8009896675,1080824126.89,551275903433,5.54E+11
21.0058454621,1326547397.46,766680838367,7.70E+11
21.2107012567,1628135377.38,1066176872400,1.07E+12
21.4155570513,1998288800.04,1482574766310,1.49E+12
21.6204128459,2452595885.98,2061483506800,2.07E+12
21.8911348294,3215133858.63,2883277823520,2.87E+12
22.3378714458,5025905359.81,4009015410660,3.99E+12
22.7846080621,7856507939.16,5574552022210,5.55E+12
23.2313446785,12281313033,7751858417790,7.72E+12
23.6780812948,19198179519.8,10780234839500,1.07E+13
24.1248179112,30010642663.6,14992719533200,1.49E+13
24.5715545275,46912712330.6,20852882293100,2.07E+13
25.0182911438,73334070279.2,29006101921500,2.88E+13
25.4650279784,114636028703,40041401343500,4.00E+13
25.4985664414,118545944700,41134309670000,41119507992300
25.5398504142,123542419800,42521929500000,42502817913700
25.5811635762,128753244500,43956360670000,43932631391300
25.6224590758,134181483600,45439247430000,45410575175800
25.6637592218,139839227100,46972193430000,46938234864000
25.7051408404,145747402500,48556878130000,48517270658500
25.7465344858,151907023900,50195086440000,50149447038100
25.7880285398,158342863300,51888602640000,51836526951600
25.829606394,165065201600,53639292810000,53580353777200
25.8713194568,172096199500,55449108990000,55382855480500
25.9132129431,179459060400,57320043960000,57245999297300
25.9553062602,187174329000,59254169780000,59171830116900
25.9976448175,195269172900,61253604050000,61162436767700
26.0402659814,203771678600,63320595430000,63220037016200
26.0832460415,212720735500,65457400500000,65346854685000
26.1266164687,222149511800,67666383680000,67545219009000
26.1704357543,232100372300,69949985270000,69817532691000
26.214783936,242625256600,72310768670000,72166318519800
26.259733594,253780001800,74751311680000,74594110866100
26.2776669096,258372172000,77274394990000,77103760385900
26.2842619797,260081785900,79882926270000,79698311711800
26.2892083732,261371439700,82579841430000,82380739222900
26.2923518611,262194350400,85368157530000,85154058036700
26.2935166432,262499927600,88250996130000,88021389347200
26.3248660171,270859484800,91229242060000,90983491519600
26.3738928258,284469769300,94306992640000,94044212514800
26.4245457097,299250158100,97488739730000,97207899527100
26.4769969147,315365119700,100778006900000,100478000168000
26.5314248301,333005495600,104178468200000,103858103896000
26.5877085505,352285777300,107693948200000,107351942561000
26.6462996643,373543262300,111328345800000,110963312124000
26.7069158369,396886362800,115085722200000,114696159656000
26.7698184048,422653446500,118970268100000,118554550626000
26.8350423078,451139439800,122986421600000,122542782427000
26.9024330745,482589906200,127138641300000,126665160016000
26.9724230787,517576449000,131431647000000,130926230206000
27.044548157,556285871800,135870255800000,135330618870000
27.1191429114,599368783800,140459554200000,139883200377000
27.1960086627,647256606600,145204712900000,144588908658000
27.2750314797,700479879800,150111192500000,149452942713000
27.356473665,759915944700,155184592300000,154480608536000
27.4398002188,825950118000,160430717700000,159677386937000
27.5254198635,899783363000,165855648500000,165048995551000
27.6128609571,982003743200,171465617700000,170601263415000
27.7021425396,1073711592000,177267226600000,176340344925000
27.7931355011,1175994750000,183267204400000,182272471896000
27.8858301196,1290215171000,189472643100000,188404180201000
27.9800933115,1417751542000,195890949100000,194742254932000
28.075754786,1560074646000,202529475200000,201293363199000
28.1720363416,1717749881000,209396539900000,208065071386000
28.2684814033,1891670474000,216500038000000,215064482070000
28.3657194128,2084852891000,223848611500000,222299348352000
28.4639256045,2299989341000,231451024300000,229777423203000
28.5631041795,2539794224000,239317149700000,237507432375000
28.6631852622,2807134315000,247456223400000,245497349140000
28.7641064081,3105222254000,255878404800000,253755917891000
28.8657992738,3437615828000,264594388900000,262292255842000
28.9682303413,3808400274000,273615645400000,271116067234000
29.0713014674,4221879261000,282953414200000,280236642065000
29.1748973004,4682706171000,292619772100000,289663885405000
29.2789405772,5196157766000,302627795300000,299408451466000
29.3833538576,5768042347000,312990414400000,309480600990000
29.4881169375,6405108157000,323721827500000,319891545827000
29.5931420847,7114400496000,334837406300000,330653323630000
29.6983361472,7903573755000,346351412400000,341776561781000
29.8036463667,8781306940000,358280784500000,353274107626000
29.9090203613,9757139226000,370642602400000,365158529465000
30.0144532177,10842050100000,383454952100000,377442902539000
30.1198902912,12047644640000,396736561000000,390140410183000
30.225266058,13386475980000,410507661800000,403265129573000
30.3305466222,14872673060000,424789317000000,416831326190000
30.4357019937,16521802590000,439603800000000,430853750341000
30.5407347136,18351541890000,454975222700000,445348151308000
30.6456303203,20381124530000,470928731600000,460330431354000
30.7503325635,22630791790000,487490605900000,475816675277000
30.8548210065,25123405220000,504688993800000,491823757279000
30.9590810983,27884193370000,522553859900000,508369178454000
31.0631211169,30941551860000,541117398300000,525471325983000
31.166948103,34326820490000,560414116400000,543149410146000
31.2705104112,38072388010000,580479447400000,561422089213000
31.3737967198,42214999820000,601351817000000,580309242535000
31.4768000032,46795118280000,623072499100000,599831654816000
31.579544126,51858715440000,645686130500000,620011276779000
31.6820182594,57454719090000,669239893000000,640870297435000
31.784185554,63635051200000,693783436700000,662430935870000
31.8860381824,70458019650000,719370297400000,684716493810000
31.9875798678,77988295040000,746058645600000,707751730985000
32.0888463418,86299622680000,773912405600000,731563493192000
32.1897732856,95464282250000,802995932700000,756175945144000
32.2903517517,105565396800000,833380161800000,781615640264000
32.3906022462,116697034800000,865143642000000,807911908784000
32.490527002,128960465200000,898369875200000,835094223920000
32.5900700341,142458242000000,933144874600000,863190014517000
32.6892331602,157309003200000,969564567400000,892230366404000
32.7880540745,173648468300000,1007737396000000,922251353732000
32.8864465737,191602987500000,1.04776649E+015,953279707647000
32.9844384441,211329246700000,1089776120000000,985353214986000
33.0820150114,232989618200000,1133895806000000,1018507530930000
33.1791174093,256748316900000,1180257198000000,1.05277377518E+015
33.2758059927,282812710100000,1229023343000000,1.08819946711E+015
33.3719669825,311358775600000,1280337135000000,1.12481026907E+015
33.4676824241,342633481300000,1.334393566E+015,1162661625460000
33.5628441581,376840884800000,1391358499000000,1201780204610000
33.6574975201,414252795300000,1451449388000000,1242220084350000
33.7515989046,455127586100000,1514876031000000,1284020710270000
33.8451165454,499743731200000,1581863469000000,1327222626290000
33.9380881851,548434068500000,1652683525000000,1371886377420000
34.0304773831,601517883900000,1.727595877E+015,1418053745140000
34.1222726053,659348014100000,1.806886281E+015,1465772062680000
34.2134793072,722312731500000,1890871358000000,1515095671830000
34.3041075989,790832733200000,1979890353000000,1.56607967152E+015
34.3941706586,865363407200000,2074307075000000,1618780065450000
34.4836865809,946400144100000,2174514270000000,1673255131860000
34.5726769397,1034481717000000,2280937065000000,1729566024490000
34.6611707094,1130199668000000,2394032484000000,1.7877751264E+015
34.7491974056,1234197561000000,2514289465000000,1.84794475967E+015
34.8367890014,1347178771000000,2642237549000000,1910140216920000
34.9239816499,1469915998000000,2778444260000000,1974426867590000
35.0108118168,1603254173000000,2.923527251E+015,2.04087430863E+015
35.0973176612,1748120597000000,3078152609000000,2.10955363134E+015
35.1835599522,1905574537000000,3243075101000000,2180552691830000
35.2695860699,2.076761429E+015,3419093333000000,2253953376220000
35.3554052563,2262858555000000,3607019428000000,2329818745430000
35.4410484093,2465197718000000,3807765976000000,2408227806340000
35.5265483746,2685245022000000,4.022330585E+015,2489265428280000
